SN_Identifier	Replicate 1	Replicate 2	Replicate 3	Mean(Replicate 1, Replicate 2, Replicate 3)	Enhancer Activity Score
SN15	0.9056670333348361	0.8908370068942635	0.8664932730160053	0.8876657710817017	0.5038840587287552
SN16	-1.403561916825789	-1.353325041711801	-1.2598793565535713	-1.338922105030387	0.0
SN18	1.7364192148981699	1.7769152441608953	1.8007792326840026	1.7713712305810223	0.7038694706815063
SN19	-0.7219912989057805	-0.873129411265266	-0.45312362688055624	-0.6827481123505342	0.14849430296957755
SN2	-1.0925379005217684	-1.0962893607621946	-1.1043175985176596	-1.0977149532672075	0.05458596084564116
SN20	-0.8645246654159426	-0.8215510702862541	-0.7805299160862851	-0.8222018839294939	0.11693546211621905
SN21	-0.3690458358452657	-0.6537579815407579	-0.7297289504072637	-0.5841775892644291	0.1708011320763497
SN24	1.7718831931546433	1.6641364809097798	2.1090611425457815	1.8483602722034014	0.7212923405293652
SN27	-0.23528810602619893	-0.4402605515523101	-0.485903753653967	-0.38715080374415867	0.2153889327337337
SN28	-0.6716438215233345	-1.06462295579328	-1.2185643765742118	-0.9849437179636088	0.08010645718996429
SN29	0.05194446802926555	-0.00011354387189594895	0.1300400541055323	0.06062365942096729	0.3167217461903066
SN32	1.2248545411778387	1.096143947428813	1.1210555819361978	1.1473513568476166	0.5626517491275581
SN34	-0.18372359384715495	-0.5039857961037664	-0.10432422735313757	-0.2640112057680197	0.24325582318262454
SN37	-0.8673152139552713	-0.7084982875679326	-0.9002128392220065	-0.8253421135817368	0.11622481795997966
SN38	-1.205575114191511	-1.0916784007294893	-1.0031347828852624	-1.1001294326020876	0.054039556340331224
SN4	-0.7835820482660278	-0.9488872898470454	-0.6643785413019748	-0.7989492931383494	0.12219759883649056
SN41	-1.0272146931454982	-1.0734329870190114	-0.9536164974638843	-1.0180880592094645	0.07260578525600286
SN42	-0.9405393768727861	-1.15600261139978	-1.1652134469608935	-1.0872518117444867	0.056953803711438045
SN43	-0.24705820467679496	-0.4490985158632855	-0.688333652620231	-0.46149679105343716	0.1985641946501828
SN47	-0.9683916508277941	-1.010155264914391	-1.1525807892846065	-1.0437092350089305	0.0668076300653887
SN50	-0.37395009798735906	-0.31914235504522553	-0.4340511497513398	-0.37571453426130813	0.21797699761343503
SN51	-0.2447077736448117	-0.0640733102099669	-0.17199547574698743	-0.16025885320058866	0.26673531710927795
SN52	0.1693299134175637	-0.1138950491946417	-0.10738842998705579	-0.017317855254711263	0.29908332860095715
SN53	0.11809287741671572	0.23810103843012578	0.20883568900801042	0.188343201618284	0.34562509287237697
SN54	-0.3074091131714425	-0.4301242223182504	-0.44903390101982427	-0.3955224121698391	0.21349441059208554
SN55	3.0222745531170214	3.1294413015714104	3.0880666585135366	3.079927504400656	1.0
SN56	-0.2713538900795012	-0.384197648729904	-0.4779085472727673	-0.37782002869405745	0.21750051739372908
SN57	-0.9769839864239034	-0.7806119068675746	-0.9844454087360098	-0.914013767342496	0.09615813509041349
SN6	-0.7865943644806964	-0.4148011980547758	-0.28693722901601487	-0.4961109305171623	0.19073090261194528
SN61	-0.9051838145196888	-0.9411611495984633	-0.8826103178774437	-0.9096517606651986	0.09714527135049067
SN63	-0.45728838864583166	-0.981175337713782	-0.7969557423058604	-0.7451398228884912	0.13437485649536493
SN64	-0.6898676530274108	-0.8445353390320983	-0.9636784312101528	-0.832693807756554	0.11456110572158923
SN66	-0.8967920291314787	-1.0045470984456422	-0.7627073250541221	-0.8880154842104143	0.10204163089361848
SN67	-0.8286156354924361	-0.7642588945761488	-0.7012391124839432	-0.7647045475175093	0.12994729584988346
SN68	-0.9313852662471422	-0.8069637054370461	-0.8388203495676124	-0.8590564404172669	0.10859515643821743
SN69	-0.7674347002216622	-0.695736687232289	-0.4012798140627251	-0.6214837338388921	0.1623586305495176
SN7	2.654612716302154	2.600881783661117	2.670737002189935	2.642077167384402	0.9009130484817223
SN70	-1.0331365484539026	-0.5773605650645492	-0.2687303064008624	-0.6264091399731048	0.16124399516484633
SN73	-0.9589963166207341	-0.9470829383543025	-1.0631635421496946	-0.989747599041577	0.07901932331971093
SN74	0.5527182700801889	0.5595797052269398	0.5929483203804282	0.5684154318958523	0.43163667142132545
SN75	0.9485539324554947	0.8260038508797918	0.6092067718100933	0.7945881850484598	0.48282029909444024
SN77	0.08324686127855245	0.21589935512108444	0.2480099461801946	0.1823853875266105	0.34427682021811923
SN79	-0.7235617866945483	-0.9454109662109672	-1.1074963997941267	-0.9254897175665473	0.0935610903302663
SN8	-0.1701114075071811	-0.0335993659383315	0.25549444539947574	0.01726122398465439	0.30690868639669755
SN80	-1.0297503436468878	-0.35145594038222794	-0.5165441441767965	-0.6325834760686374	0.15984672287878463
SN82	-0.9845437309118586	-1.1135029521978768	-1.0858335532313812	-1.0612934121137056	0.06282827374892896
SN84	-0.930907530902086	-0.6671171698046201	-0.5268589765294555	-0.7082945590787205	0.14271305921019206
SN85	-0.823945508959258	-1.025991160186008	-1.1053070590094156	-0.9850812427182273	0.08007533489190621
SN86	-1.1258273648363268	-1.3856829503137043	-0.962015733029164	-1.1578420160597316	0.04097901150203903
SN87	-0.4347762652670188	-0.6386404584069241	-1.152842262995213	-0.7420863288897186	0.13506587209188028
SN88	0.06263092419187875	0.2149202022002597	0.16333820251327996	0.14696310963513948	0.3362606438323309
SN9	-0.5287424221254184	-0.8657373843746862	-1.0451766858473737	-0.8132188307824927	0.11896835618164028
SN90	-0.7806439531311292	-1.079925652599888	-0.8013356985667364	-0.8873017680992512	0.10220314716464973
