SN_Identifier	Replicate 1	Replicate 2	Replicate 3
SN84	-0.930907530902086	-0.6671171698046201	-0.5268589765294555
SN85	-0.823945508959258	-1.025991160186008	-1.1053070590094156
SN86	-1.1258273648363268	-1.3856829503137043	-0.962015733029164
SN87	-0.4347762652670188	-0.6386404584069241	-1.152842262995213
SN88	0.06263092419187875	0.2149202022002597	0.16333820251327996
SN9	-0.5287424221254184	-0.8657373843746862	-1.0451766858473737
SN90	-0.7806439531311292	-1.079925652599888	-0.8013356985667364
SN91	-0.8841471959232376	-0.9290946197962728	-1.156619272225695
SN92	-0.9317463747107263	-0.9226239404294261	-1.1086983119532379
SN94	0.4044195843744791	0.6589527797848349	0.5373897950100409
SN95	-0.9937457927421399	-1.0217603794044479	-0.7909104949894947
SN96	-0.47453177638885463	-0.5576381594814425	-0.565315530695057
